"","full_results","degree_list","cc_list"
"a",0.625,0,0
"akesi",1.3539263332899,16,0.458333333333333
"ala",1.37155506418977,13,0.807692307692308
"alasa",1.48414275329038,20,0.484210526315789
"ale",1.12444747066989,14,0.505494505494505
"anpa",1.50785428250157,17,0.551470588235294
"ante",1.30264499249545,15,0.504761904761905
"anu",1.26523458886129,9,1
"awen",1.44503189977875,14,0.483516483516484
"e",0.625,0,0
"en",1.32159086076817,9,1
"esun",1.85859395175578,7,0.476190476190476
"ijo",3.63380330806639,3,0.333333333333333
"ike",1.4073437475845,4,1
"ilo",1.2185729749567,11,0.490909090909091
"insa",1.07438456091628,14,0.571428571428571
"jaki",1.17076206440118,10,0.355555555555556
"jan",1.28948429894585,12,0.590909090909091
"jelo",1.6862835172919,12,0.621212121212121
"jo",3.11850027367269,1,0
"kala",1.5140276220144,19,0.538011695906433
"kalama",1.90420802443623,23,0.411067193675889
"kama",1.80503568892974,12,0.575757575757576
"kasi",1.217640037589,23,0.379446640316206
"ken",1.56955274419828,12,0.666666666666667
"kepeken",1.70437198880052,14,0.516483516483517
"kili",1.35787208086773,20,0.515789473684211
"kiwen",1.44476627608817,16,0.441666666666667
"ko",1.78447525845274,1,0
"kon",2.3290587301452,6,0.666666666666667
"kule",1.41653648638026,9,0.444444444444444
"kulupu",1.76208402056131,10,0.244444444444444
"kute",1.45055641798715,11,0.418181818181818
"la",1.13595290571677,9,1
"lape",1.176219795983,11,0.672727272727273
"laso",1.38189014146432,16,0.525
"lawa",1.58149243229467,15,0.542857142857143
"len",1.42801794031252,13,0.602564102564103
"lete",1.30338562902366,10,0.6
"li",1.14782813801285,13,1
"lili",1.28803483213517,15,0.79047619047619
"linja",1.30966828998585,23,0.490118577075099
"lipu",1.43268810684195,16,0.675
"loje",1.50111456746165,8,0.821428571428571
"lon",1.36052628885378,12,0.484848484848485
"luka",1.23816068879626,11,0.581818181818182
"lukin",1.28809135441113,17,0.389705882352941
"lupa",1.32659831433703,12,0.621212121212121
"ma",1.36193454676906,5,1
"mama",1.79591371107601,5,1
"mani",1.62950900111162,17,0.360294117647059
"meli",1.33670805686825,20,0.542105263157895
"mi",1.88029764678783,2,1
"mije",2.27524460969186,6,0.333333333333333
"moku",1.49227027518772,10,0.288888888888889
"moli",1.31652865478281,16,0.675
"monsi",1.35489864086005,19,0.403508771929825
"mu",1.52003667287459,3,1
"mun",1.80660188538954,6,0.4
"musi",1.39321182640041,13,0.628205128205128
"mute",1.67750460201422,11,0.4
"nanpa",1.55722507295408,24,0.391304347826087
"nasa",1.21316897410365,16,0.475
"nasin",1.41728148508073,27,0.376068376068376
"nena",1.28726422693026,17,0.5
"ni",1.38676290122598,3,1
"nimi",2.30098954788726,6,0.333333333333333
"noka",1.4088713500476,12,0.515151515151515
"o",0.625,0,0
"olin",1.31206329981501,20,0.605263157894737
"ona",1.44235763827028,11,0.709090909090909
"open",1.4558285892175,10,0.822222222222222
"pakala",1.51704431680823,28,0.343915343915344
"pali",1.26056990442663,28,0.396825396825397
"palisa",1.30023600237054,31,0.348387096774194
"pan",1.4205458170781,15,0.657142857142857
"pana",1.46344856475602,22,0.424242424242424
"pi",1.31357073811643,5,1
"pilin",1.56123095602081,25,0.44
"pimeja",1.5188931737154,11,0.363636363636364
"pini",1.60128508941374,15,0.476190476190476
"pipi",1.33263566209497,6,0.733333333333333
"poka",1.48935060023767,13,0.474358974358974
"poki",1.564428579168,10,0.444444444444444
"pona",1.44302853734248,14,0.483516483516484
"pu",1.15095103331149,2,1
"sama",1.70765291748004,9,0.5
"seli",1.44473371671638,20,0.536842105263158
"selo",1.61264690588299,13,0.551282051282051
"seme",1.3257048181133,5,0.6
"sewi",1.502877294357,5,0.4
"sijelo",1.83655006515892,22,0.380952380952381
"sike",1.59793531335515,13,0.679487179487179
"sin",1.24901956624425,16,0.658333333333333
"sina",1.33908706739884,23,0.450592885375494
"sinpin",1.44400363080404,23,0.387351778656127
"sitelen",1.54618687433823,32,0.278225806451613
"sona",1.44376250859747,15,0.485714285714286
"soweli",1.26820009639353,25,0.366666666666667
"suli",1.35782022279849,19,0.52046783625731
"suno",1.87422080009369,7,0.476190476190476
"supa",1.42234484967304,14,0.527472527472527
"suwi",1.58211128509967,6,0.466666666666667
"tan",1.3460495737565,13,0.551282051282051
"taso",1.34575537280994,12,0.46969696969697
"tawa",1.66236173456764,10,0.488888888888889
"telo",1.46369871751857,16,0.45
"tenpo",1.35135725696296,21,0.323809523809524
"toki",1.62023403198827,9,0.472222222222222
"tomo",1.23579505830595,4,0.666666666666667
"tu",0.625,0,0
"unpa",1.35036816774568,14,0.505494505494505
"uta",1.29604898790457,6,0.6
"utala",1.5780473459381,19,0.444444444444444
"walo",1.26962667307891,21,0.357142857142857
"wan",1.36030722398055,14,0.516483516483517
"waso",1.37230639917275,13,0.461538461538462
"wawa",1.54556845190235,6,0.8
"weka",1.1412597820324,12,0.5
"wile",1.3653892211787,11,0.309090909090909
