Words,deg
back,513
bar,682
bat,450
bell,380
boat,247
cake,320
calm,607
cap,498
car,992
case,340
cat,603
coal,430
coat,384
cob,551
come,297
con,773
cot,576
cup,241
cut,215
dead,370
dear,796
down,159
fair,544
fan,814
for,901
hair,549
head,250
hill,503
kick,1313
kin,1176
line,398
mad,435
man,954
mar,733
mass,597
mat,571
mate,777
mean,359
mole,381
muss,200
nick,1427
pad,374
pan,934
pass,519
path,278
peace,223
pen,860
pick,1382
pin,1281
pipe,116
pit,438
pot,370
rain,500
ram,682
ran,1098
red,538
rock,418
run,481
sac,459
sail,190
sauce,83
set,567
sick,1517
side,283
size,381
soar,906
son,465
suit,252
well,398
year,306
bag,288
ball,164
balm,318
base,155
book,59
boom,165
boot,228
bull,241
check,477
date,737
dish,742
dog,57
dumb,262
face,142
fall,175
feed,229
fight,325
fish,461
home,161
hook,47
hop,235
hot,217
house,48
jack,388
jam,272
knife,123
knight,262
leg,316
life,268
light,401
load,267
loch,340
log,115
long,103
luck,204
made,240
mouth,30
name,223
nap,285
net,354
nut,116
page,134
peep,193
pull,232
rag,573
rail,458
rheum,291
road,383
shine,197
ship,258
shot,142
tail,382
tape,321
team,749
thyme,159
tide,271
top,276
touch,75
town,150
tug,101
wait,756
walk,84
wall,200
war,854
wash,64
web,138
wife,114
wood,56
work,117
worm,136
