Orthography,Klattese,kgrams,regular,activation
back,b@k,.b@|.@k,TRUE,0.631662984207066
bag,b@g,.b@|.@g,FALSE,0.633847693481522
ball,bcl,.bc|.cl,FALSE,0.641606311401741
balm,bam,.ba|.am,FALSE,0.631213320178575
bar,bar,.ba|.ar,TRUE,0.632364404950763
base,bes,.be|.es,FALSE,0.640677288687771
bat,b@t,.b@|.@t,TRUE,0.631661253326059
bell,bEl,.bE|.El,TRUE,0.633575489609198
boat,bot,.bo|.ot,TRUE,0.634676521200733
book,bUk,.bU|.Uk,FALSE,0.668636562769925
boom,bum,.bu|.um,FALSE,0.639427179083427
boot,but,.bu|.ut,FALSE,0.636155178001311
bull,bUl,.bU|.Ul,FALSE,0.633445898919369
cake,kek,.ke|.ek,TRUE,0.632801861723921
calm,kam,.ka|.am,TRUE,0.629589572846822
cap,k@p,.k@|.@p,TRUE,0.631564873412394
car,kar,.ka|.ar,TRUE,0.630978385357676
case,kes,.ke|.es,TRUE,0.632735513892271
cat,k@t,.k@|.@t,TRUE,0.630702329410253
check,CEk,.CE|.Ek,FALSE,0.629095062209976
coal,kol,.ko|.ol,TRUE,0.633246024667182
coat,kot,.ko|.ot,TRUE,0.63251395338413
cob,kab,.ka|.ab,TRUE,0.630552735098102
come,k^m,.k^|.^m,TRUE,0.635298931417798
con,kan,.ka|.an,TRUE,0.62966663496261
cot,kat,.ka|.at,TRUE,0.631074195276578
cup,k^p,.k^|.^p,TRUE,0.634457567939731
cut,k^t,.k^|.^t,TRUE,0.63689703302343
date,det,.de|.et,FALSE,0.630175486505706
dead,dEd,.dE|.Ed,TRUE,0.631204230402865
dear,dIr,.dI|.Ir,TRUE,0.629862080956457
dish,dIS,.dI|.IS,FALSE,0.629594507565537
dog,dcg,.dc|.cg,FALSE,0.650864774107833
down,dWn,.dW|.Wn,TRUE,0.6383440419886
dumb,d^m,.d^|.^m,FALSE,0.636297459189979
face,fes,.fe|.es,FALSE,0.641392848906566
fair,fEr,.fE|.Er,TRUE,0.630117045039669
fall,fcl,.fc|.cl,FALSE,0.640154748481991
fan,f@n,.f@|.@n,TRUE,0.629438822830336
feed,fid,.fi|.id,FALSE,0.633380885520552
fight,fYt,.fY|.Yt,FALSE,0.633149590063535
